a	A
accueillir	a k 9 j i R
accumulateur	a k y m y l a t 9 R
accumulation	a k y m y l a s j O~
accumuler	a k y m y l e
accusatif	a k y z a t i f
accusation	a k y z a s j O~
accuser	a k y z e
accusé	a k y z e
accès	a k s E
accéder	a k s e d e
accélère	a k s e l E R
accélérateur	a k s e l e R a t 9 R
accélération	a k s e l e R a s j O~
accélérer	a k s e l e R e
ace	E j s
achard	a S a R
achat	a S a
acheminer	a S m i n e
acheter	a S t e
acheteur	a S t 9 R
achever	a S v e
achevé	a S v e
achèvement	a S E v m A~
acide	a s i d
acides	a s i d
acidité	a s i d i t e
acidulé	a s i d y l e
acier	a s j e
acolyte	a k O l i t
acoustique	a k u s t i k
acoustiques	a k u s t i k
acquis	a k i
acquisition	a k i z i s j O~
acquit	a k i
acquitté	a k i t e
acquéreur	a k e R 9 R
acquérir	a k e R i R
acre	a k R
acrobate	a k R O b a t
acrobaties	a k R O b a s i
acrobatique	a k R O b a t i k
acronyme	a k R O n i m
acte	a k t
acteur	a k t 9 R
acteurs	a k t 9 R
actif	a k t i f
actifs	a k t i f
action	a k s j O~
actionnaire	a k s j O n E R
actionner	a k s j O n e
activant	a k t i v A~
activation	a k t i v a s j O~
activement	a k t i v m A~
activer	a k t i v e
actives	a k t i v
activité	a k t i v i t e
activé	a k t i v e
activée	a k t i v e
activées	a k t i v e
activés	a k t i v e
actrice	a k t R i s
actrices	a k t R i s
actualité	a k t H a l i t e
actualités	a k t H a l i t e
actuel	a k t H E l
actuellement	a k t H E l m A~
acuité	a k H i t e
acétate	a s e t a t
adage	a d a Z
adagio	a d a dZ j o
adagio	a d a Z j o
adaptable	a d a p t a b l
adaptateur	a d a p t a t 9 R
adaptation	a d a p t a s j O~
adapter	a d a p t e
adapté	a d a p t e
addiction	a d i k s j O~
addition	a d i s j O~
additionnel	a d i s j O n E l
additions	a d i s j O~
adducteur	a d y k t 9 R
adhérent	a d e R A~
adhérents	a d e R A~
adhérer	a d e R e
adhésif	a d e z i f
adhésion	a d e z j O~
adiabatique	a d j a b a t i k
adieu	a d j 2
adieux	a d j 2
adipeux	a d i p 2
adjacent	a d Z a s A~
adjectif	a d Z E k t i f
adjoindre	a d Z w E~ d R
adjoint	a d Z w E~
adjudant	a d Z y d A~
admettre	a d m E t R
administrateur	a d m i n i s t R a t 9 R
administratif	a d m i n i s t R a t i f
administration	a d m i n i s t R a s j O~
administrer	a d m i n i s t R e
admirable	a d m i R a b l
admirateur	a d m i R a t 9 R
admiration	a d m i R a s j O~
admirer	a d m i R e
admission	a d m i s j O~
ado	a d o
adobe	a d O b
adolescence	a d O l E s A~ s
adolescent	a d O l E s A~
adolescente	a d O l E s A~ t
adopter	a d O p t e
adoptif	a d O p t i f
adoption	a d O p s j O~
adoration	a d O R a s j O~
adore	a d O R
adossé	a d O s e
adouci	a d u s i
adresse	a d R E s
adresser	a d R e s e
adresses	a d R E s
adulte	a d y l t
adultère	a d y l t E R
adventice	a d v A~ t i s
adverbe	a d v E R b
adversaire	a d v E R s E R
adéquat	a d e k w a
adéquate	a d e k w a t
adéquates	a d e k w a t
adéquats	a d e k w a
afar	a f a R
affaiblir	a f E b l i R
affaire	a f E R
affaires	a f E R
affamé	a f a m e
affectation	a f E k t a s j O~
affecter	a f E k t e
affection	a f E k s j O~
affectueusement	a f E k t H 2 z m A~
affectueux	a f E k t H 2
affecté	a f E k t e
affichage	a f i S a Z
affiche	a f i S
afficher	a f i S e
affilié	a f i l j e
affinage	a f i n a Z
affiner	a f i n e
affinité	a f i n i t e
affirma	a f i R m a
affirmait	a f i R m E
affirmant	a f i R m A~
affirmation	a f i R m a s j O~
affirme	a f i R m
affirment	a f i R m
affirmer	a f i R m e
affirmé	a f i R m e
affirmée	a f i R m e
affluent	a f l H A~
afflux	a f l y
affrontement	a f R O~ t m A~
affronter	a f R O~ t e
afghan	a f g A~
afin	a f E~
africaine	a f R i k E n
afrikaans	a f R i k A~
afrikaner	a f R i k a n E R
agave	a g a v
agence	a Z A~ s
agencement	a Z A~ s m A~
agenda	a Z E~ d a
agent	a Z A~
agents	a Z A~
agglomération	a g l O m e R a s j O~
agglomérations	a g l O m e R a s j O~
aggravant	a g R a v A~
aggraver	a g R a v e
agile	a Z i l
agilité	a Z i l i t e
agir	a Z i R
agissant	a Z i s A~
agitation	a Z i t a s j O~
agité	a Z i t e
agneau	a J o
agneaux	a J o
agnostique	a g n O s t i k
agonie	a g O n i
agrafe	a g R a f
agrandi	a g R A~ d i
agrandit	a g R A~ d i
agressif	a g R E s i f
agressifs	a g R E s i f
agression	a g R E s j O~
agressive	a g R E s i v
agressives	a g R E s i v
agricole	a g R i k O l
agriculteur	a g R i k y l t 9 R
agriculture	a g R i k y l t y R
agronome	a g R O n O m
agronomie	a g R O n O m i
agronomique	a g R O n O m i k
agrès	a g R E
agréable	a g R e a b l
agréablement	a g R e a b l @ m A~
agréables	a g R e a b l
agrégat	a g R e g a
agrégation	a g R e g a s j O~
agrément	a g R e m A~
agrémenter	a g R e m A~ t e
ah	a
ai	e
aide	E d
aider	e d e
aides	E d
aie	E
aigle	E g l
aigre	E g R
aigu	e g y
aiguille	e g H i j
aiguillon	E g H i j O~
ail	a j
aile	E l
aileron	E l R O~
ailes	E l
ailettes	E l E t
ailier	E l j e
aille	a j
ailleurs	a j 9 R
ailé	E l e
aimable	E m a b l
aimait	E m E
aimant	E m A~
aime	E m
aiment	E m
aimer	e m e
aimerait	E m R E
aimé	e m e
ainsi	E~ s i
air	E R
aire	E R
ais	E
aisance	E z A~ s
aisé	E z e
aisément	e z e m A~
ait	e
ajouter	a Z u t e
ajouté	a Z u t e
ajuster	a Z y s t e
akkadien	a k a d j E~
akène	a k E n
akènes	a k E n
alarme	a l a R m
albanais	a l b a n E
albatros	a l b a t R O s
album	a l b O m
albâtre	a l b A t R
alcalin	a l k a l E~
alchimie	a l S i m i
alchimiste	a l S i m i s t
alcool	a l k O l
alcoolique	a l k O l i k
alcoolisme	a l k O l i z m
alcools	a l k O l
alcène	a l s E n
aldéhyde	a l d e i d
ale	E l
alentour	a l A~ t u R
alentours	a l A~ t u R
alerte	a l E R t
alerter	a l E R t e
algonquin	a l g O~ k E~
algorithme	a l g o R i t m
algorithmique	a l g O R i t m i k
algue	a l g
algèbre	a l Z E b R
algèbres	a l Z E b R
algébrique	a l Z e b R i k
alibi	a l i b i
alien	a l j E~
alif	a l i f
aligner	a l i J e
aligné	a l i J e
alignée	a l i J e
alignées	a l i J e
alignés	a l i J e
aliment	a l i m A~
alimentaire	a l i m A~ t E R
alimentation	a l i m A~ t a s j O~
alimentations	a l i m A~ t a s j O~
alimenter	a l i m A~ t e
alinéa	a l i n e a
allais	a l E
allait	a l E
alle	a l
allegro	a l e g R o
allemand	a l m A~
aller	a l e
allergie	a l E R Z i
allergique	a l E R Z i k
allez	a l e
alliage	a l j a Z
alliance	a l j A~ s
allier	a l j e
alligator	a l i g a t O R
alliée	a l i e
allocution	a l O k y s j O~
allonger	a l O~ Z e
allons	a l O~
allumer	a l y m e
allumé	a l y m e
allure	a l y R
allusion	a l y z j O~
allègre	a l E g R
allèle	a l E l
allé	a l e
allée	a l e
allégorie	a l e g O R i
allégorique	a l e g O R i k
almanach	a l m a n a
alors	a l O R
alouette	a l w E t
alouettes	a l w E t
alpha	a l f a
alphabet	a l f a b E
alphabétique	a l f a b e t i k
alphabétiquement	a l f a b e t i k m A~
alpin	a l p E~
alpinisme	a l p i n i z m
alpiniste	a l p i n i s t
alsacien	a l z a s j E~
altercation	a l t E R k a s j O~
alternance	a l t E R n A~ s
alternances	a l t E R n A~ s
alternatif	a l t E R n a t i f
alternative	a l t E R n a t i v
alternativement	a l t E R n a t i v m A~
alterner	a l t E R n e
altesse	a l t E s
altitude	a l t i t y d
alto	a l t o
altruiste	a l t R H i s t
altération	a l t e R a s j O~
alu	a l y
aluminium	a l y m i n j O m
alvin	a l v E~
aléa	a l e a
aléatoire	a l e a t w a R
aléatoirement	a l e a t w a R m A~
aléatoires	a l e a t w a R
amalgame	a m a l g a m
amande	a m A~ d
amandine	a m A~ d i n
amant	a m A~
amante	a m A~ t
amarante	a m a R A~ t
amas	a m A
amateur	a m a t 9 R
amateurs	a m a t 9 R
ambassade	A~ b a s a d
ambassadeur	A~ b a s a d 9 R
ambassadrice	A~ b a s a d R i s
ambiance	A~ b j A~ s
ambiances	A~ b j A~ s
ambigu	A~ b i g y
ambiguïté	A~ b i g H i t e
ambitieux	A~ b i s j 2
ambition	A~ b i s j O~
ambre	A~ b R
ambulance	A~ b y l A~ s
amende	a m A~ d
amener	a m n e
amer	a m E R
amertume	a m E R t y m
ami	a m i
amiable	a m j a b l
amical	a m i k a l
amicale	a m i k a l
amidon	a m i d O~
amie	a m i
amies	a m i
amiral	a m i R a l
amis	a m i
amitié	a m i t j e
amitiés	a m i t j e
ammoniac	a m O n j a k
ammonium	a m O n j O m
amnistie	a m n i s t i
amorce	a m O R s
amorcer	a m O R s e
amorphe	a m O R f
amortissement	a m o R t i s m A~
amour	a m u R
amoureux	a m u R 2
amovible	a m O v i b l
amphibie	A~ f i b i
amphithéâtre	A~ f i t e A t R
ample	A~ p l
ampleur	A~ p l 9 R
amplificateur	A~ p l i f i k a t 9 R
amplificateurs	A~ p l i f i k a t 9 R
amplifier	A~ p l i f j e
amplis	A~ p l i
amplitude	A~ p l i t y d
ampoule	A~ p u l
ampère	A~ p E R
amulette	a m y l E t
amusant	a m y z A~
amusement	a m y z m A~
amène	a m E n
amère	a m E R
améliorer	a m e l j O R e
aménage	a m e n a Z
aménagé	a m e n a Z e
américain	a m e R i k E~
amérindien	a m e R E~ d j E~
an	A~
anaconda	a n a k O~ d a
anagramme	a n a g R a m
anal	a n a l
anale	a n a l
anales	a n a l
analogie	a n a l O Z i
analogique	a n a l O Z i k
analogue	a n a l O g
analyse	a n a l i z
analyser	a n a l i z e
analyses	a n a l i z
analyste	a n a l i s t
analystes	a n a l i s t
ananas	a n a n a s
anarchique	a n a R S i k
anarchisme	a n a R S i z m
anarchiste	a n a R S i s t
anatomie	a n a t O m i
anatomique	a n a t O m i k
anatomiques	a n a t O m i k
ancestral	A~ s E s t R a l
anchois	A~ S w a
ancien	A~ s j E~
ancienne	A~ s j E n
ancrage	A~ k R a Z
ancre	A~ k R
ancêtre	A~ s E t R
andalou	A~ d a l u
androïde	A~ d R O i d
anecdote	a n E k d O t
anecdotique	a n E k d O t i k
anesthésie	a n E s t e z i
ange	A~ Z
angine	A~ Z i n
anglais	A~ g l E
anglaise	A~ g l E z
anglaises	A~ g l E z
angle	A~ g l
anglican	A~ g l i k A~
anglicisme	A~ g l i s i s m
angoisse	A~ g w a s
anguille	A~ g i j
angulaire	A~ g y l E R
anguleux	A~ g y l 2
angélique	A~ Z e l i k
anhydre	a n i d R
animal	a n i m a l
animale	a n i m a l
animales	a n i m a l
animateur	a n i m a t 9 R
animation	a n i m a s j O~
animatrice	a n i m a t R i s
animaux	a n i m o
anime	a n i m
animer	a n i m e
animé	a n i m e
anis	a n i s
annales	a n a l
anneau	a n o
anneaux	a n o
annexe	a n E k s
anniversaire	a n i v E R s E R
anniversaires	a n i v E R s E R
annonce	a n O~ s
annoncer	a n O~ s e
annuaire	a n H E R
annuel	a n H E l
annuellement	a n H E l m A~
annulation	a n y l a s j O~
annule	a n y l
annuler	a n y l e
année	a n e
années	a n e
anobli	a n O b l i
anonyme	a n O n i m
anormal	a n O R m a l
ans	A~
anse	A~ s
anses	A~ s
antagoniste	A~ t a g O n i s t
antarctique	A~ t a R t i k
ante	A~ t
antenne	A~ t E n
anthologie	A~ t O l O Z i
anthropologie	A~ t R O p O l O Z i
anthropologue	A~ t R O p O l O g
anthropomorphe	A~ t R O p O m O R f
anthropomorphes	A~ t R O p O m O R f
anthropomorphique	A~ t R O p O m O R f i k
antibiotique	A~ t i b j O t i k
antichambre	A~ t i S A~ b R
anticipation	A~ t i s i p a s j O~
anticiper	A~ t i s i p e
anticorps	A~ t i k O R
antidote	A~ t i d O t
antidépresseur	A~ t i d e p R E s 9 R
antifongique	A~ t i f O~ Z i k
antifongiques	A~ t i f O~ Z i k
antiinflammatoire	A~ t j E~ f l a m a t w a R
antillais	A~ t i j E
antillaise	A~ t i j E z
antilope	A~ t i l O p
antioxydant	A~ t j O k s i d A~
antioxydante	A~ t j O k s i d A~ t
antique	A~ t i k
antiseptique	A~ t i s E p t i k
antisémite	A~ t i s e m i t
antisémitisme	A~ t i s e m i t i z m
antécédent	A~ t e s e d A~
antécédents	A~ t e s e d A~
antérieur	A~ t e R j 9 R
anus	a n y s
anxieux	A~ k s j 2
anxiété	A~ k s j e t e
anéanti	a n e A~ t i
anéantir	a n e A~ t i R
anémie	a n e m i
anémone	a n e m O n
août	u t
apaiser	a p e z e
apercevoir	a p E R s @ v w a R
aperçu	a p E R s y
aphérèse	a f e R E z
apiculteurs	a p i k y l t 9 R
aplati	a p l a t i
apnée	a p n e
apocalyptique	a p O k a l i p t i k
apocryphe	a p O k R i f
apogée	a p O Z e
apolitique	a p O l i t i k
apologie	a p O l O Z i
apostolat	a p O s t O l a
apostolique	a p O s t O l i k
apostrophe	a p O s t R O f
apparaître	a p a R E t R
appareil	a p a R E j
appareillage	a p a R E j a Z
apparemment	a p a R a m A~
apparence	a p a R A~ s
apparences	a p a R A~ s
apparent	a p a R A~
apparente	a p a R A~ t
apparenté	a p a R A~ t e
apparition	a p a R i s j O~
appartement	a p a R t @ m A~
appartenir	a p a R t @ n i R
appel	a p E l
appelant	a p l A~
appeler	a p l e
appellatif	a p E l a t i f
appellation	a p E l a s j O~
appelle	a p E l
appendice	a p A~ d i s
applicable	a p l i k a b l
application	a p l i k a s j O~
appliquer	a p l i k e
appliqué	a p l i k e
apport	a p O R
apporter	a p O R t e
apposer	a p o z e
apprendre	a p R A~ d R
apprenti	a p R A~ t i
appris	a p R i
approbation	a p R O b a s j O~
approche	a p R O S
approcher	a p R O S e
approfondir	a p R O f O~ d i R
approprié	a p R O p R i j e
approuver	a p R u v e
approximatif	a p R O k s i m a t i f
approximation	a p R O k s i m a s j O~
approximations	a p R O k s i m a s j O~
approximativement	a p R O k s i m a t i v m A~
apprécier	a p R e s j e
appréhender	a p R e A~ d e
appui	a p H i
appuyer	a p H i j e
appât	a p A
appétit	a p e t i
après	a p R E
apte	a p t
aptitude	a p t i t y d
apéritif	a p e R i t i f
apôtre	a p o t R
apôtres	a p O t R
aquarelle	a k w a R E l
aquarium	a k w a R j O m
aquariums	a k w a R j O m
aquatique	a k w a t i k
aqueduc	a k @ d y k
aqueuse	a k 9 s
aqueux	a k 2
aquifère	a k j E R
arabe	a R a b
arabique	a R a b i k
aragonais	a R a g O n E
araignée	a R E J e
araméen	a R a m e E~
arbalète	a R b a l E t
arbitrage	a R b i t R a Z
arbitraire	a R b i t R E R
arbitre	a R b i t R
arborer	a R b O R e
arbre	a R b R
arbres	a R b R
arbrisseau	a R b R i s o
arbuste	a R b y s t
arc	a R k
arcade	a R k a d
archaïque	a R k a i k
arche	a R S
archer	a R S e
archet	a R S E
archevêché	a R S @ v E S e
archevêque	a R S @ v E k
archidiacre	a R S i d j a k R
archipel	a R S i p E l
architecte	a R S i t E k t
architectural	a R S i t E k t y R a l
architecture	a R S i t E k t y R
archive	a R S i v
archiviste	a R S i v i s t
archéologie	a R k e O l O Z i
archéologique	a R k e O l O Z i k
archéologue	a R k e O l O g
archétype	a R k e t i p
arctique	a R t i k
ardemment	a R d a m A~
ardent	a R d A~
ardeur	a R d 9 R
ardoise	a R d w a z
argent	a R Z A~
argile	a R Z i l
argot	a R g o
argument	a R g y m A~
argumentation	a R g y m A~ t a s j O~
aride	a R i d
aristocrate	a R i s t O k R a t
aristocratie	a R i s t O k R a s i
aristocratique	a R i s t O k R a t i k
aristotélicienne	a R i s t O t e l i s j E n
arithmétique	a R i t m e t i k
arme	a R m
armes	a R m
armoire	a R m w a R
armorial	a R m O R j a l
armure	a R m y R
armée	a R m e
arménien	a R m e n j E~
aromatique	a R O m a t i k
arrache	a R a S
arracher	a R a S e
arraché	a R a S e
arrangement	a R A~ Z m A~
arrangeur	a R A~ Z 9 R
arrestation	a R E s t a s j O~
arrive	a R i v
arriver	a R i v e
arrivée	a R i v e
arrière	a R j E R
arrogant	a R O g A~
arrondi	a R O~ d i
arrondis	a R O~ d i
arrondissement	a R O~ d i s m A~
arrosage	a R o z a Z
arroser	a R o z e
arrêt	a R E
arrête	a R E t
arrêter	a R e t e
arsenal	a R s @ n a l
arsenic	a R s @ n i k
art	a R
article	a R t i k l
articulation	a R t i k y l a s j O~
artificiel	a R t i f i s j E l
artillerie	a R t i j R i
artisan	a R t i z A~
artisanat	a R t i z a n a
artiste	a R t i s t
artistes	a R t i s t
artistique	a R t i s t i k
artistiques	a R t i s t i k
arts	a R
artère	a R t E R
arène	a R E n
arête	a R E t
arôme	a R o m
as	A s
ascendant	a s A~ d A~
ascenseur	a s A~ s 9 R
ascenseurs	a s A~ s 9 R
ascension	a s A~ s j O~
ashkénaze	a S k e n a z
asile	a z i l
aspect	a s p E k t
asphalte	a s f a l t
asphyxie	a s f i k s i
aspic	a s p i k
aspirant	a s p i R A~
aspiration	a s p i R a s j O~
aspirer	a s p i R e
assassin	a s a s E~
assassinat	a s a s i n a
assassiner	a s a s i n e
assaut	a s o
assemblage	a s A~ b l a Z
assemblages	a s A~ b l a Z
assembler	a s A~ b l e
assemblée	a s A~ b l e
assemblées	a s A~ b l e
asseoir	a s w a R
assertion	a s E R s j O~
assesseur	a s E s 9 R
assez	a s e
assidu	a s i d y
assidûment	a s i d y m A~
assiette	a s j E t
assigner	a s i J e
assimilable	a s i m i l a b l
assimilation	a s i m i l a s j O~
assimiler	a s i m i l e
assis	a s i
assise	a s i z
assises	a s i z
assista	a s i s t a
assistant	a s i s t A~
assiste	a s i s t
assistent	a s i s t
assister	a s i s t e
assisté	a s i s t e
association	a s O s j a s j O~
associative	a s O s j a t i v
associer	a s O s j e
assouvir	a s u v i R
assumant	a s y m A~
assume	a s y m
assument	a s y m
assumer	a s y m e
assumé	a s y m e
assurance	a s y R A~ s
assurer	a s y R e
assureur	a s y R 9 R
assurément	a s y R e m A~
assyrien	a s i R j E~
asthme	a s m
asthénie	a s t e n i
astragale	a s t R a g a l
astral	a s t R a l
astre	a s t R
astres	a s t R
astrologie	a s t R O l O Z i
astrologue	a s t R O l O g
astronaute	a s t R O n o t
astronome	a s t R O n O m
astronomes	a s t R O n O m
astronomie	a s t R O n O m i
astronomique	a s t R O n O m i k
astronomiques	a s t R O n O m i k
astrophysique	a s t R o f i z i k
astucieux	a s t y s j 2
asturien	a s t y R j E~
astérisque	a s t e R i s k
astéroïde	a s t e R O i d
astéroïdes	a s t e R O i d
asymétrie	a s i m e t R i
asymétrique	a s i m e t R i k
asymétriques	a s i m e t R i k
atelier	a t @ l j e
athlète	a t l E t
athlétique	a t l e t i k
athlétisme	a t l e t i z m
athée	a t e
athénien	a t e n j E~
atlantique	a t l A~ t i k
atmosphère	a t m O s f E R
atmosphères	a t m O s f E R
atmosphérique	a t m O s f e R i k
atmosphériques	a t m O s f e R i k
atoll	a t O l
atome	a t O m
atomes	a t O m
atomique	a t O m i k
atone	a t O n
atout	a t u
atrium	a t R i j O m
atrophie	a t R O f i
attachant	a t a S A~
attachement	a t a S m A~
attacher	a t a S e
attaché	a t a S e
attaquant	a t a k A~
attaque	a t a k
attaquer	a t a k e
attaques	a t a k
atteindre	a t E~ d R
attelage	a t @ l a Z
attenant	a t n A~
attendre	a t A~ d R
attendu	a t A~ d y
attentat	a t A~ t a
attente	a t A~ t
attentif	a t A~ t i f
attention	a t A~ s j O~
attentivement	a t A~ t i v m A~
atterrir	a t E R i R
atterrissage	a t E R i s a Z
attestant	a t E s t A~
attestation	a t E s t a s j O~
atteste	a t E s t
attestent	a t E s t
attester	a t E s t e
attesté	a t E s t e
attirant	a t i R A~
attirer	a t i R e
attitude	a t i t y d
attractif	a t R a k t i f
attractive	a t R a k t i v
attractivité	a t R a k t i v i t e
attrait	a t R E
attraper	a t R a p e
attrayant	a t R E j A~
attribuables	a t R i b y a b l
attribuer	a t R i b H e
attribut	a t R i b y
atténuation	a t e n H a s j O~
atténuer	a t e n H e
au	o
aube	o b
auberge	o b E R Z
aubergiste	o b E R Z i s t
aubes	o b
aubin	o b E~
aubépine	o b e p i n
aucun	o k 9~
audace	o d a s
audacieux	o d a s j 2
audience	o d j A~ s
audit	o d i
auditeur	o d i t 9 R
auditoire	o d i t w a R
auditorium	o d i t O R j O m
auge	o Z
auger	o Z e
augmenter	O g m A~ t e
augure	o g y R
auguste	o g y s t
aujourd'hui	o Z u R d H i
aulne	o n
aumônier	o m o n j e
auparavant	o p a R a v A~
auprès	o p R E
auquel	o k E l
aurait	o R E
auriculaire	o R i k y l E R
auront	O R O~
aurore	O R O R
aurores	O R O R
auréole	O R e O l
aussi	o s i
aussitôt	o s i t o
austral	o s t R a l
australe	o s t R a l
australes	o s t R a l
australien	o s t R a l j E~
austère	O s t E R
autant	o t A~
autarcie	o t a R s i
autel	o t E l
auteur	o t 9 R
authentique	o t A~ t i k
autisme	o t i s m
auto	o t o
autobiographie	o t O b j O g R a f i
autobiographique	o t O b j O g R a f i k
autobus	o t o b y s
autocar	o t o k a R
autochtone	o t O k t O n
autodidacte	o t O d i d a k t
automate	O t O m a t
automatique	O t O m a t i k
automatiquement	o t O m a t i k m A~
automatiser	o t O m a t i z e
automatisé	O t O m a t i z e
automne	o t O n
automobile	o t O m O b i l
automobiles	O t O m O b i l
automoteur	o t O m O t 9 R
autonome	O t O n O m
autonomie	o t O n O m i
autonyme	O t O n i m
autoportrait	o t O p O R t R E
autopsie	o t O p s i
autorisation	O t O R i z a s j O~
autorisations	o t o R i z a s j O~
autoriser	O t O R i z e
autoritaire	O t O R i t E R
autorité	O t O R i t e
autoroute	o t O R u t
autoroutes	o t O R u t
autoroutier	o t O R u t j e
autoroutière	o t O R u t j E R
autour	o t u R
autre	o t R
autrefois	o t R @ f w a
autrement	o t R @ m A~
autres	o t R
autrichien	o t R i S j E~
autruches	o t R y S
autrui	o t R H i
auvent	o v A~
auvergnat	o v E R J a
auvergnate	o v E R J a t
aux	o
auxiliaire	o g z i l j E R
auxquelles	o k E l
auxquels	o k E l
avaient	a v E
aval	a v a l
avalanche	a v a l A~ S
avaler	a v a l e
avance	a v A~ s
avancement	a v A~ s m A~
avancer	a v A~ s e
avancé	a v A~ s e
avancée	a v A~ s e
avant	a v A~
avantage	a v A~ t a Z
avantageux	a v A~ t a Z 2
avare	a v a R
avatar	a v a t a R
avatars	a v a t a R
avec	a v E k
avenir	a v n i R
aventure	a v A~ t y R
avenue	a v n y
aversion	a v E R s j O~
avertir	a v E R t i R
avertissement	a v E R t i s m A~
aveu	a v 2
aveugle	a v 9 g l
aveugles	a v 9 g l
avez	a v e
aviateur	a v j a t 9 R
aviation	a v j a s j O~
avide	a v i d
avion	a v j O~
avions	a v j O~
aviron	a v i R O~
avis	a v i
avisé	a v i z e
avocat	a v O k a
avoine	a v w a n
avoir	a v w a R
avons	a v O~
avortement	a v O R t @ m A~
avorter	a v O R t e
avouer	a v w e
avril	a v R i l
axe	a k s
axial	a k s j a l
axiale	a k s j a l
axiome	a k s j o m
ayant	E j A~
azote	a z O t
aztèque	a z t E k
aztèques	a z t E k
azur	a z y R
azuré	a z y R e
azéri	a z e R i
aérien	a e R j E~
aérienne	a e R j E n
aérodrome	a e R O d R o m
aérodynamique	a e R O d i n a m i k
aéronautique	a e R O n o t i k
aéronef	a e R O n E f
aéroport	a e R O p O R
aérosol	a e R O s O l
aérospatiale	a e R O s p a t j a l
aéré	a e R e
aîné	e n e
aïeul	a j 9 l
aïeux	a j 2
baba	b a b a
babouin	b a b w E~
baby	b a b i
babylonien	b a b i l O n j E~
bac	b a k
baccalauréat	b a k a l o R e a
baccalauréats	b a k a l o R e a
bachelier	b a S @ l j e
bacon	b e k O n
bactéricide	b a k t e R i s i d
bactérie	b a k t e R i
bactérien	b a k t e R j E~
bactéries	b a k t e R i
bader	b a d e
badge	b a dZ
badges	b a dZ
badminton	b a d m i n t O n
bagage	b a g a Z
bagages	b a g a Z
bagarre	b a g A R
bagatelle	b a g a t E l
bagne	b a J
bague	b a g
bagues	b a g
baguette	b a g E t
bai	b E
baie	b E
baignade	b E J a d
baigner	b e J e
baignoire	b E J w a R
bail	b a j
bailli	b a j i
bailliage	b a j a Z
baillis	b a j i
bain	b E~
baiser	b E z e
baisse	b E s
baisser	b e s e
bal	b a l
baladeur	b a l a d 9 R
balai	b a l E
balance	b a l A~ s
balançoire	b a l A~ s w a R
balayer	b a l E j e
balcon	b a l k O~
baldaquin	b a l d a k E~
bale	b a l
baleine	b a l E n
