ALES	a_" l e s
Anadolu	a n a d o 5_" u_"
Anafartalar'a	a n a f a r t a 5 a r_" a_"
Androit'te	a n d r o i_" t_" t e
Ankara'da	a_" N_" k a r a d a
Ankara'da	a_" n_" c a r a d a
Ankara'daymış	a_" N_" k a r a d a j m 1 S
Ankara'nın	a_" N_" k a r a n 1 n
Ankara'ya	a_" N_" k a r a j a
Ankara'ya	a_" n_" c a r a j a
Ankara'yı	a N k a r a j_" 1_"
Ankara	a_" N_" k a r a
Ankara	a_" n_" c a r a
Antalya'ya	a n t_" a_" 5_" j a j a
Antalya	a n t_" a_" 5_" j a
Antalyasporlu	a n t_" a_" l_" j a s i p o r 5 u
Anıl'a	a_" n 1 5 a
Anıl'ın	a n 1 5_" 1_" n_"
Anıl	a n_" 1_" 5_"
Apo'nun	a p o n_" u_" n_"
Apo	a_" p o
Arda	a r d_" a_"
Arena	a r_" e_" n a
Arif	a_" r i f
Arko	a_" r_" k o
Arsenal	a_" r_" s e n a 5
Arslan	a r s 5_" a_" n_"
Arzu	a r z_" u_"
Arçelik'e	a_" r_" tS e l i e
Arçelik'in	a r tS e l i c_" i_" n_"
Arçelik'te	a_" r_" tS e l i c t e
Aslı	a_" s_" 5 1
Astoria'da	a s t_" o_" r_" j a d a
Asus'da	a s u s d_" a_"
Ata	a_" t a
Atakan	a t a k_" a_" n_"
Ataşehir	a t_" a_" S e h i r`
Ataşehir	a t_" a_" S e i r`
Atik	a t_" i_" c_"
Avcılar'da	a_" w_" dZ 1 5 a r d a
Avcılar	a_" w_" dZ 1 5 a r`
Avea'da	a w e a d_" a_"
Avea'dan	a w e a d_" a_" n_"
Avea'daydı	a w e a d_" a_" j_" d 1
Avni'yle	a w n_" i_" j_" l e
Avrupa'dan	a_" w_" r u p a d a n
Avrupa'ya	a w r_" u_" p a j a
Avrupa	a w r_" u_" p a
Avusturya'da	a w u s t u r j a d_" a_"
Avusturya'dan	a w u s t_" u_" r_" j a d a n
Avusturya'daymış	a w u s t_" u_" r_" j a d a j m 1 S
Avusturya'ya	a w u s t_" u_" r_" j a j a
Ayaklar'a	a j a k 5 a r_" a_"
Aycan	a j dZ_" a_" n_"
Aydın	a_" j_" d 1 n
Ayfer	a j f_" e_" r`_"
Aygaz'ı	a j g a z_" 1_"
Aygüllerle	a j gj y l l_" e_" r_" l e
Aygün'ün	a j gj y n_" y_" n_"
Aylin'le	a j l_" i_" n_" l e
Aylin	a_" j_" l i n
Ayrancı'daki	a j r_" a_" n_" dZ 1 d a c i
Aysel	a_" j_" s e l
Aysunlar	a j s u n 5_" a_" r`_"
Ayşe	a j S_" e_"
Ayşe	a_" j_" S e
Ayşegül'ü	a j S e gj y l_" y_"
Ayşegül'ün	a j S e gj y l_" y_" n_"
Ayşegül	a_" j_" S e gj y l
Azime	a z i m_" e_"
B	b_" e:_"
Babanın	b a b a n_" 1_" n_"
Bahar'ı	b a h a r_" 1_"
Bahar	b_" a_" a r`
Bahar	b_" a_" h a r`
Bahattin	b a h a t t_" i_" n_"
Bahçelievler'de	b a h tS e l_" i_" e w l e r d e
Bahçelievler'deyim	b a h tS e l_" i_" e w l e r d e j i m
Bakanlığı'nda	b a k a n 5 1: n d_" a_"
Bakanlığı'nın	b a c a n 5 1: n_" 1_" n_"
Bakanlığı'nın	b a k a n 5 1: n_" 1_" n_"
Baki	b_" a:_" c i:
Bankasya'da	b_" a_" N_" k a s j a d a
Bankası'ndan	b a N k a s 1 n d_" a_" n_"
Bankası'nın	b_" a_" N_" k a s 1 n 1 n
Bankası	b_" a_" N_" k a s 1
Bankası	b_" a_" n_" c a s 1
Barcelona'ya	b a r s e l_" o_" n a j a
Barcelona	b a r s e 5_" o_" n a
Baroni	b a r_" o_" n i
Barış'ın	b_" a_" r 1 S 1 n
Barış	b_" a_" r 1 S
Batman'da	b_" a_" t_" m a n d a
Batman	b_" a_" t_" m a n
Batıkent'te	b a t_" 1_" c e n t t e
Baymak	b_" a_" j_" m a k
Bayram'ı	b a j r a m_" 1_"
Bayram	b a j r_" a_" m_"
Bayrampaşa	b a j r_" a_" m_" p a S a
Bayramı	b a j r a m_" 1_"
Bayruş'a	b a j r u S_" a_"
Başak'la	b a S_" a_" k_" 5 a
Başak	b a S_" a_" k_"
Begüm	b e gj_" y_" m_"
Bekir'e	b e c i r_" e_"
Bekir	b e c_" i_" r`_"
Belezoğlu	b e l_" e_" z o: 5 u
Beleştepe	b e l_" e_" S_" t e p e
Beratlar	b e r a t 5_" a_" r`_"
Berke'nin	b e r c e n_" i_" n_"
Berke	b e r c_" e_"
Berkin'den	b e r c i n d_" e_" n_"
Berkin	b e r c_" i_" n_"
Berlin	b_" e_" r_" l i n
Berna'yla	b e r n_" a:_" j_" 5 a
Beste	b_" e_" s_" t e
Bey'e	b e j_" e_"
Bey'i	b e j_" i_"
Bey'in	b e j_" i_" n_"
Bey	b_" e_" j_"
Beyhan	b e j h_" a_" n_"
Beyler	b e j l_" e_" r`_"
Beyza'yla	b e j z_" a:_" j_" 5 a
Beyza	b e j z_" a:_"
Beşiktaş'a	b e S_" i_" k_" t a S a
Beşiktaş'tan	b e S i c t a S t_" a_" n_"
Beşiktaş'tayım	b e S_" i_" k_" t a S t a j 1 m
Beşiktaş'ı	b e S i c t a S_" 1_"
Beşiktaş'ın	b e S i c t a S_" 1_" n_"
Beşiktaş	b e S_" i_" c_" t a S
Beşiktaşlı	b e S_" i_" c_" t a S 5 1
Biga'da	b_" i_" g a d a
Biga'ya	b_" i_" g a j a
Bilge	b i l gj_" e_"
Bilgeciğim	b i l gj_" e_" dZ i: m
Bitlis	b_" i_" t_" l i s
Bodrum'a	b_" o_" d_" r u m a
Bodrum'da	b_" o_" d_" r u m d a
Bodrum'dayım	b_" o_" d_" r u m d a j 1 m
Bodrum	b_" o_" d_" r u m
Bolat'ı	b o 5 a t_" 1_"
Bolat	b o 5_" a_" t_"
Bolu'da	b_" o_" 5 u d a
Bornova'da	b o r n_" o_" w a d a
Bornova'daki	b o r n_" o_" w a d a c i
Bornova	b o r n_" o_" w a
Boğaz'da	b o a z d_" a_"
Boğaz	b_" o_" a z
Brad	b i r_" e_" d_"
Brezilya'dan	b i r e z i l j a d_" a_" n_"
Bucaspor	b_" u_" dZ a s p o r`
Buket'te	b_" u_" c e t t e
Buket'ten	b u c e t t_" e_" n_"
Buket	b u c_" e_" t_"
Buketler	b_" u_" c e t l e r`
Burak'a	b u r a: a_"
Burak'ı	b u r a: k_" 1_"
Burak	b u r_" a_" k_"
Burger	b_" 2_" r_" g 1 r`
Burger	b_" u_" r_" gj e r`
Burçin'e	b u r tS i n_" e_"
Burçin'in	b u r tS i n_" i_" n_"
Burçköy'e	b u r tS c_" 2_" j e
Buse	b_" u:_" s e
Bülent'in	b y l e n t_" i_" n_"
Bülent'ten	b y l e n t t_" e_" n_"
Bülent	b_" y_" l e n t
Bünyamin	b y n j_" a_" m i n
Büşralar	b y S r a: 5_" a_" r`_"
Bıdırık'ta	b 1 d 1 r 1 k t_" a_"
Bıdırık	b 1 d 1 r_" 1_" k_"
C_D'sini	dZ_" e:_" d e: s i n_" i_"
C_D	s_" i:_" d_" i:_"
Cabir	dZ a b_" i_" r`_"
Cafer	dZ_" a:_" f e r`
Can	dZ_" a_" n_"
Carrefour'un	k_" a_" r_" f u r u n
Cebrail	dZ e b r a: i_" l_"
Cem	dZ_" e_" m_"
Cemal	dZ e m_" a_" l_"
Ceren	dZ e r_" e_" n_"
Cevahir'de	dZ e w a h i r d_" e_"
Cevahir'de	dZ e w a i r d_" e_"
Cevahir'deymiş	dZ e w a h i r d e j m_" i_" S_"
Cevahir'deymiş	dZ e w a i r d e j m_" i_" S_"
Cevahir	dZ e w_" a_" h i r`
Cevahir	dZ e w_" a_" i r`
Ceyda'yı	dZ e j d_" a_" j 1
Ceyda	dZ e j d_" a:_"
Ceydacığım	dZ e j d_" a:_" dZ 1: m
Cihan'a	dZ i h a n_" a_"
Cihan'la	dZ i h_" a_" n_" 5 a
Cihan	dZ i a_" n_"
Cihan	dZ i h_" a_" n_"
Cihat'la	dZ i h_" a_" t_" 5 a
Cizre'ye	dZ_" i_" z_" r e j e
Ciğerhun'da	dZ i e r h u n d_" a_"
Ciğerhun	dZ i e r h_" u_" n_"
Clooney	k u 5 u n_" i_"
D	d_" e:_"
D_S'ydi	d_" e:_" s e: j d_" i_"
Danimarka'dan	d a n i m_" a_" r_" k a d a n
Dardanel'den	d a r d a n e l d_" e_" n_"
Davaro'daki	d a w_" a_" r o d a c i
Davaro	d a w_" a_" r o
Dedemin	d e d e m_" i_" n_"
Demet'le	d e m_" e_" t_" l e
Demet	d e m_" e_" t_"
Demirer'inki	d e m_" i_" r e r i n c i
Deniz'e	d e n i z_" e_"
Deniz'i	d e n i z_" i_"
Deniz'in	d e n i z_" i_" n_"
Deniz'le	d e n_" i_" z_" l e
Deniz	d e n_" i_" z_"
Derman'da	d e r m a n d_" a_"
Derman	d e r m_" a_" n_"
Derya'ya	d e r j a: j_" a_"
Derya	d e r j_" a:_"
Derya	d_" e_" r_" j a:
Dikimevi'nde	d i c_" i_" m e w i n d e
Dikimevi'nin	d i c_" i_" m e w i n i n
Dikimevi	d i c_" i_" m e w i
Dilay'cığım	d i 5 a j dZ_" 1:_" m_"
Dilay	d_" i_" 5 a j
Dilek	d i l_" e_" c_"
Dilşat	d i l S_" a_" t_"
Diyarbakır'dan	d i j_" a_" r_" b a k 1 r d a n
Doktor	d o k t_" o_" r`_"
Doylan'a	d o j 5 a n_" a_"
Doylan'la	d o j 5 a n 5_" a_"
Dudu	d u d_" u_"
Dudullu'da	d u d_" u_" 5_" 5 u d a
Dudullu	d u d_" u_" 5_" 5 u
Dumrul	d u m r_" u_" 5_"
Duran	d_" u_" r a n
Durağı'ndaki	d_" u_" r a: n d a c i
Dursun	d u r s_" u_" n_"
Duygu	d_" u_" j_" g u
Dönmez	d 2 n m_" e_" z_"
Dünya'yı	d y n j a: j_" 1_"
Edirne'de	e d i r n e d_" e_"
Edirne'den	e d i r n e d_" e_" n_"
Edirne	e d_" i_" r_" n e
Edirneliyi	e d_" i_" r_" n e l i j i
Edirnespor'a	e d i r n e s p o r_" a_"
Edirnespor	e d i r n e s p_" o_" r`_"
Ediz	e d_" i_" z_"
Efe'de	e f e d_" e_"
Efe	e f_" e_"
Ekonomi	e k o n o m_" i_"
Elazığ'a	e l_" a_" z 1 a
Elif	e l_" i_" f_"
Emel	e m_" e_" l_"
Emine	e_" m i n e
Eminönü'nde	e_" m i n 2 n y n d e
Eminönü'ne	e_" m i n 2 n y n e
Emir'i	e m i r_" i_"
Emir'in	e m i r_" i_" n_"
Emir'le	e m_" i_" r_" l e
Emir	e m_" i_" r`_"
Emo'yla	e_" m o j 5 a
Emo	e_" m o
Emrah	e m r_" a_"
Emrah	e m r_" a_" h_"
Emre'den	e m r e d_" e_" n_"
Emre'lerle	e m r e l_" e_" r_" l e
Emre'nin	e_" m_" r e n i n
Emre'ye	e m r e j_" e_"
Emre'yi	e m r e j_" i_"
Emre	e m r_" e_"
Enes'e	e n e s_" e_"
Enes'le	e n_" e_" s_" l e
Enes	e n_" e_" s_"
Erdal'la	e r d_" a_" 5_" 5 a
Erdal	e_" r_" d a 5
Erdem	e r d_" e_" m_"
Erdinç	e r d_" i_" n_" tS_"
Eren	e_" r e n
Ergen'in	e r gj e n_" i_" n_"
Ergün'ün	e r gj y n_" y_" n_"
Ergün	e_" r_" gj y n
Ergünlerle	e r gj y n l_" e_" r_" l e
Erhan	e_" r a n
Erhan	e_" r_" h a n
Erkan	e_" r_" c a n
Erkan	e_" r_" k a n
Erman	e_" r_" m a n
Ersan'a	e r s a n_" a_"
Ersan'ın	e r s a n_" 1_" n_"
Ersan	e r s_" a_" n_"
Ersin	e_" r_" s i n
Ertuğulların	e r t u: 5 a r_" 1_" n_"
Eryaman'a	e_" r_" j a m a n a
Erzurum'dan	e r z u r u m d_" a_" n_"
Erzurum	e_" r_" z u r u m
Esat	e s_" a_" t_"
Esentepe'deyiz	e s_" e_" n_" t e p e d e j i z
Eskişehir'de	e s c i S e h i r d_" e_"
Eskişehir'de	e s c i S e i r d_" e_"
Eskişehir'e	e s c_" i_" S e h i r e
Esma	e s m_" a:_"
Esra'dan	e s r a: d_" a_" n_"
Esra'nın	e s r a: n_" 1_" n_"
Esra'ya	e s r a j_" a_"
Esra'yı	e s r a: j_" 1_"
Esra	e s r_" a_"
Etiler'de	e t i l e r d_" e_"
Evka	e_" w_" k a
Eylemciğim	e j l_" e_" m_" dZ i: m
Eylül'ün	e j l y l_" y_" n_"
Eylül	e j l_" y_" l_"
Eyüp	e j_" y_" p_"
Eyüpcan	e j y p dZ_" a_" n_"
Ezan	e z_" a_" n_"
Ezgi	e z gj_" i_"
Ezgi	e_" z_" gj i
F_M	f_" e:_" m_" e:_"
Fadime'yle	f a d i m_" e_" j_" l e
Fatih'te	f_" a_" t i h t e
Fatih'te	f_" a_" t i t e
Fatih'ten	f a: t i h t_" e_" n_"
Fatih	f a t_" i_" h_"
Fatih	f_" a_" t i h
Fatik	f a t_" i_" k_"
Fatma'yı	f a t m_" a_" j 1
Fatma	f a t m_" a_"
Fatmagül	f a t m a gj_" y_" l_"
Fehim'i	f e h i m_" i_"
Fener'e	f_" e_" n e r e
Fener'in	f_" e_" n e r i n
Fener	f e n_" e_" r`_"
Fenerbahçe'de	f e n_" e_" r_" b a h tS e d e
Fenerbahçe'de	f e n_" e_" r_" b a tS e d e
Fenerbahçe'nin	f e n_" e_" r_" b a h tS e n i n
Fenerbahçe'nin	f e n_" e_" r_" b a tS e n i n
Fenerbahçe'yi	f e n_" e_" r_" b a h tS e j i
Fenerbahçe'yi	f e n_" e_" r_" b a tS e j i
Fenerbahçe	f e n_" e_" r_" b a h tS e
Fenerbahçe	f e n_" e_" r_" b a tS e
Fenerbahçeli	f e n e r b_" a_" h_" tS e l i
Fenerbahçeli	f e n e r b_" a_" tS e l i
Fenerli	f e n e r l_" i_"
Fenerlilere	f e n e r l i l e r_" e_"
Fenerliydin	f e n e r l_" i_" j_" d i n
Ferda	f e r d_" a:_"
Ferhat'la	f_" e_" r a t 5 a
Ferhat'la	f_" e_" r_" h a t 5 a
Feride'ye	f e r_" i_" d e j e
Feride	f e r i d_" e_"
Feriköy'le	f e r i c_" 2_" j_" l e
Feriköy	f e r i c_" 2_" j_"
Ferit	f e r_" i_" t_"
Fernandes'le	f e r n_" a_" n_" d e s l e
Fernandes	f e r n_" a_" n_" d e s
Fevzi'yi	f e w z i j_" i_"
Feyza	f e j z_" a:_"
Figen'in	f i gj e n_" i_" n_"
Filiz'e	f i l i z_" e_"
Filiz	f i l_" i_" z_"
Fizik	f i z_" i_" c_"
Fizmo	f_" i_" z_" m o
Forum'a	f o r u m_" a_"
Forum	f o r_" u_" m_"
Funda'yla	f u n d_" a_" j_" 5 a
Funda	f u n d_" a_"
Fundalar	f u n d a 5_" a_" r`_"
Furkan'ı	f_" u_" r_" k a n 1
Furkan	f_" u_" r_" c a n
Furkan	f_" u_" r_" k a n
Fırat'ı	f 1 r a t_" 1_"
Fırat'ın	f 1 r a t_" 1_" n_"
Fırat'ın	f_" 1_" r a t 1 n
G_S'ye	g_" a:_" s e: j_" e_"
G_S'ye	gj_" e:_" s e: j_" e_"
Gaffur	g a f f_" u_" r`_"
Galata	g a 5_" a_" t a
Galatasaray'dan	g a 5_" a_" t a s a r a j d a n
Galatasaray'ı	g a 5_" a_" t a s a r a j 1
Galatasaray'ın	g a 5_" a_" t a s a r a j 1 n
Galatasaray	g a 5 a t a s a r_" a_" j_"
Garanti'ye	g a r a n t i j_" e_"
Gayrettepe	g a j r_" e_" t_" t e p e
Gazatesi	g a z a t e s_" i_"
George	dZ_" o_" r_" tS_"
Giresun'a	gj i r e s u n_" a_"
Giresun'la	gj i r_" e_" s u n 5 a
Gizem	gj i z_" e_" m_"
Guardiola	g u a_" r_" d i o 5 a
Gulit	g u l_" i_" t_"
Gökhan	gj 2 k_" a_" n_"
Gökhan	gj_" 2_" c a n
Gökhan	gj_" 2_" c_" h a n
Gökçek	gj 2 k tS_" e_" k_"
Gönül	gj 2 n_" y_" l_"
Görkem'in	gj 2 r c e m_" i_" n_"
Görkem'le	gj 2 r c_" e_" m_" l e
Gül'ü	gj y l_" y_"
Gülay'cım	gj y 5_" a_" j_" dZ 1 m
Gülay	gj y 5_" a_" j_"
Gülaycığım	gj y 5_" a_" j_" dZ 1: m
Gülben	gj y l b_" e_" n_"
Gülen'ler	gj y l_" e_" n_" l e r`
Gülen'lerle	gj y l_" e_" n_" l e r l e
Gülen	gj y l_" e_" n_"
Güler'i	gj y l e r_" i_"
Güler	gj y l_" e_" r`_"
Gülerciğim	gj y l_" e_" r_" dZ i: m
Gülser	gj y l s_" e_" r`_"
Gültepe'de	gj y l t e p e d_" e_"
Gülü	gj y l_" y_"
Gülşen	gj y l S_" e_" n_"
Günay'cığım	gj y n_" a_" j_" dZ 1: m
Güney'in	gj y n e j_" i_" n_"
Güney	gj y n_" e_" j_"
Gürcü	gj y r dZ_" y_"
Gürkan	gj_" y_" r_" c a n
Gürkan	gj_" y_" r_" k a n
Gürsel	gj y r s_" e_" l_"
Habibe	h a b_" i:_" b e
Hacı	h a dZ_" 1_"
Hafız	h a: f_" 1_" z_"
Hakan	h_" a_" c a n
Hakan	h_" a_" k a n
Hakkı	h a k k_" 1_"
Hakyüz	h a k j_" y_" z_"
Halas	h a 5_" a_" s_"
Hale'nin	h a: l e n_" i_" n_"
Hale'yle	h a: l_" e_" j_" l e
Hale	h_" a:_" l e
Halenur	h a: l e n_" u_" r`_"
Hamdi	h_" a_" m_" d i
Hamit	h_" a_" m i t
Hamiyet	h a m i j_" e_" t_"
Handan'a	h a n d a n_" a_"
Handan'la	h a n d_" a_" n_" 5 a
Handan	h a n d_" a_" n_"
Hande'ye	h a n d e j_" e_"
Hande'yle	h a n d_" e_" j_" l e
Hande	h a n d_" e_"
Hande	h_" a_" n_" d e
Hanife	h a n i f_" e_"
Hanife	h a n_" i_" f e
Hanım	h a n_" 1_" m_"
Hasan	h a s_" a_" n_"
Haseki'de	h a s_" e_" c i d e
Haseki'ye	h a s_" e_" c i j e
Hasip	h a s_" i_" p_"
Hastanesi'nin	h a s t a: n e s i n_" i_" n_"
Hastanesi	h a s t a: n e s_" i_"
Hatice'nin	h a t i dZ e n_" i_" n_"
Hatice'yi	h a t_" i_" dZ e j i
Hatice	h a t_" i:_" dZ e
Hatip'te	h a t i p t_" e_"
Havva'nın	h a w w a n_" 1_" n_"
Havva'ya	h_" a_" w_" w a j a
Havva	h a w w_" a_"
Haydar'a	h a j d a r_" a_"
Hayrettin	h a j r e t t_" i_" n_"
Heyeti'ne	h e j e t i n_" e_"
Hilal'den	h i l a: l d_" e_" n_"
Hilmi	h_" i_" l_" m i
Hoca'nın	h o dZ a n_" 1_" n_"
Hoca'ya	h o dZ a j_" a_"
Hoca'yı	h o dZ a j_" 1_"
Hoca	h o dZ_" a_"
Hosta'da	h o s t a d_" a_"
Hosta'ya	h o s t a j_" a_"
Hyundai'nin	h u n d a: i n_" i_" n_"
Hülya'da	h y l j a: d_" a_"
Hülya'yla	h y l j_" a:_" j_" 5 a
Hülya'yı	h y l j_" a_" j 1
Hülya	h y l j_" a:_"
Hülya	h_" y_" l_" j a:
Hürriyet'te	h y r r i j e t t_" e_"
Hürriyet	h y r r i j_" e_" t_"
Hüseyin'le	h y s e j_" i_" n_" l e
Hüseyin	h y s e j_" i_" n_"
Hüsnü	h y s n_" y_"
Hıdır	h 1 d_" 1_" r`_"
I	1:_"
Irak'ta	1: r a k t_" a_"
Irak	1_" r a k
Irmak	1 r m_" a_" k_"
Isparta'da	1 s p_" a_" r_" t a d a
Jackson	tS_" e_" c_" s 1 n
Jaleler	Z a l e l_" e_" r`_"
Jel	Z_" e_" l_"
Juventus'un	j u w_" e_" n_" t u s u n
Juventus	j u w_" e_" n_" t u s
K_P_D_S'ye	c_" e:_" p_" e:_" d_" e:_" s e: j_" e_"
K_P_D_S'ye	k_" a:_" p_" e:_" d_" e:_" s e: j_" e_"
K_P_D_S	c_" e:_" p_" e:_" d_" e:_" s_" e:_"
K_P_D_S	k_" a:_" p_" e:_" d_" e:_" s_" e:_"
K_P_S'nin	c_" e:_" p_" e:_" s e: n_" i_" n_"
K_P_S'nin	k_" a:_" p_" e:_" s e: n_" i_" n_"
K_P_S	c_" e:_" p_" e:_" s_" e:_"
K_P_S	k_" a:_" p_" e:_" s_" e:_"
K_P_S_S'den	c_" e:_" p_" e:_" s_" e:_" s e: d_" e_" n_"
K_P_S_S'den	k_" a:_" p_" e:_" s_" e:_" s e: d_" e_" n_"
K_P_S_S'sine	c_" e:_" p_" e:_" s_" e:_" s e: s i n_" e_"
K_P_S_S'sine	k_" a:_" p_" e:_" s_" e:_" s e: s i n_" e_"
K_P_S_S'ye	c_" e:_" p_" e:_" s_" e:_" s e: j_" e_"
K_P_S_S'ye	k_" a:_" p_" e:_" s_" e:_" s e: j_" e_"
K_P_S_S'yi	c_" e:_" p_" e:_" s_" e:_" s e: j_" i_"
K_P_S_S'yi	k_" a:_" p_" e:_" s_" e:_" s e: j_" i_"
K_P_S_S	c_" e:_" p_" e:_" s_" e:_" s_" e:_"
K_P_S_S	k_" a:_" p_" e:_" s_" e:_" s_" e:_"
Kaan	k a: a_" n_"
Kabataş'ta	k a b_" a_" t a S t a
Kadıköy'de	k a d_" 1_" c 2 j d e
Kadıköy'e	k a d_" 1_" c 2 j e
Kadıköy'ün	k a d 1 c 2 j_" y_" n_"
Kadıköy	k a d_" 1_" c 2 j
Kamer'e	k_" a_" m e r e
Kamil	c a: m_" i_" l_"
Kamuran	c_" a_" m u r a n
Kamuran	k_" a_" m u r a n
Kapadokya'ya	k a p_" a_" d o k j a j a
Kapadokya	k a p_" a_" d o k j a
Kaplan'ı	k a p 5 a n_" 1_"
Karaağacı	k a r_" a_" a: dZ 1
Karaağaç'a	k a r_" a:_" dZ a
Karaağaç	k a r_" a:_" a tS
Karaağaç	k a r_" a:_" tS_"
Karabağlar	k a r_" a_" b a: 5 a r`
Karacan'ın	k a r a dZ a n_" 1_" n_"
Karadeniz'e	k a r_" a_" d e n i z e
Karadeniz	k_" a_" r a d e n i z
Karataş'a	k a r_" a_" t a S a
Kartepe'ye	k_" a_" r_" t e p e j e
Kartepe	k_" a_" r_" t e p e
Kasrı	k a s r_" 1_"
Kasımpaşa'da	k a s_" 1_" m_" p a S a d a
Kasımpaşa'daki	k a s_" 1_" m_" p a S a d a c i
Kasımpaşa	k a s_" 1_" m_" p a S a
Kaya	k_" a_" j a
Kayseri'ye	k_" a_" j_" s e r i j e
Kağıthane	c_" a:_" t_" h a: n e
Kedi'yi	c e d i j_" i_"
Kemal'de	c e m a l d_" e_"
Kemal'deyim	c e m a l d e j_" i_" m_"
Kemal'e	c e m a l_" e_"
Kemal'in	c e m a l_" i_" n_"
Kemal	c e m_" a_" 5_"
Kemal	c e m_" a_" l_"
Kemaliye'de	c e m_" a:_" l i j e d e
Kenan'a	c e n a n_" a_"
Kenan'la	c e n a n 5_" a_"
Kenan'ın	c e n a n_" 1_" n_"
Kenan	c_" e_" n a n
Kerem'i	c e r e m_" i_"
Kerem	c e r_" e_" m_"
Keshi	c e s h_" i_"
Keshi	c e s_" i_"
Kezban'la	c e z b_" a_" n_" 5 a
Kimsin'e	c_" i_" m_" s i n e
King'e	c i n gj_" e_"
Kocaeli'ne	k o dZ_" a_" e l i n e
Kuaför'e	k u a: f 2 r_" e_"
Kunduz'dan	k_" u_" n_" d u z d a n
Kunduzlu	k u n d_" u_" z_" 5 u
Kur'an	k u r ?_" a_" n_"
Kutay'ı	k u t a j_" 1_"
Kutay	k u t_" a_" j_"
Kuzey	k u z_" e_" j_"
Köprüsü'nün	c 2 p r y s y n_" y_" n_"
Kültür	c_" y_" l_" t y r`
Kürtçe	c_" y_" r_" t_" tS e
Kütahya'daydı	c y t_" a_" h_" j a d a j d 1
Küçük	c y tS_" y_" c_"
KİT'lerin	c i t l e r_" i_" n_"
Kırıkkale'den	k 1 r_" 1_" k_" k a l e d e n
Kırıkkale'nin	k 1 r_" 1_" k_" k a l e d e j m i S
Kırıkkale'nin	k 1 r_" 1_" k_" k a l e n i n
Kırıkkale	k 1 r_" 1_" k_" k a l e
Kız	k_" 1_" z_"
Kızılay'a	k 1 z_" 1_" 5 a j a
Kızılay'da	k 1 z_" 1_" 5 a j d a
Kızılay'dan	k 1 z_" 1_" 5 a j d a n
Kızılay	k 1 z_" 1_" 5 a j
L_C_D	l_" e:_" dZ_" e:_" d_" e:_"
Lenovo'da	l e n o w o d_" a_"
Lenovo	l e n_" o_" w o
Levent	l e w_" e_" n_" t_"
Lig'deyken	l i gj d e j c_" e_" n_"
Lisesi'ni	l i s e s i n_" i_"
Lisesi	l i s_" e_" s i
M	m_" e:_"
Madrid	m_" a_" d_" r i d
Mahmut	m_" a_" h_" m u t
Mahmut	m_" a_" m u t
Malatya'da	m a l_" a_" t_" j a d a
Malatya'ya	m a 5 a t j a j_" a_"
Mamak'ta	m_" a_" m a k t a
Mamak	m_" a_" m a k
Mamaklardayım	m_" a_" m a k 5 a r d a j 1 m
Manisa	m a n_" i_" s a
Mansız	m a n s_" 1_" z_"
Maradona'nın	m a r_" a_" d o: n a n 1 n
Maradona	m a r_" a_" d o: n a
Mardin'deymiş	m_" a_" r_" d i n d e j m i S
Mardin'e	m_" a_" r_" d i n e
Mardin	m_" a_" r_" d i n
Marlboro	m a l b_" o_" r a
Mazlum	m a z 5_" u_" m_"
